,folder,maxFM_snps,min_depth,n_snps,n_indv,n_indv50,n_indv20,n_pop,n_pop50,n_pop20,n_native,n_native50,n_native20
0,042_filter_FM_0.55_mD_0_MD_30,0.55,0.0,189278,569,494,67,37,36,17,143,128,2
1,042_filter_FM_0.5_mD_0_MD_30,0.5,0.0,244178,569,490,5,37,36,4,143,128,0
2,042_filter_FM_0.7_mD_5_MD_30,0.7,5.0,7,483,402,319,37,37,35,134,109,83
3,042_filter_FM_0.6_mD_0_MD_30,0.6,0.0,136792,569,493,167,37,36,26,143,128,7
4,042_filter_FM_0.6_mD_5_MD_30,0.6,5.0,7965,550,396,206,37,36,31,143,106,33
5,042_filter_FM_0.9_mD_3_MD_30,0.9,3.0,0,0,0,0,0,0,0,0,0,0
6,042_filter_FM_0.75_mD_4_MD_30,0.75,4.0,3,432,429,427,36,36,36,114,113,112
7,042_filter_FM_0.55_mD_3_MD_30,0.55,3.0,68441,561,447,129,37,36,24,143,116,3
8,042_filter_FM_0.7_mD_0_MD_30,0.7,0.0,53919,569,495,333,37,37,33,143,131,49
9,042_filter_FM_0.5_mD_1_MD_30,0.5,1.0,244149,569,490,5,37,36,4,143,128,0
10,042_filter_FM_0.65_mD_4_MD_30,0.65,4.0,6660,551,430,258,37,36,33,143,116,50
11,042_filter_FM_0.6_mD_2_MD_30,0.6,2.0,71447,566,469,196,37,36,30,143,123,10
12,042_filter_FM_0.85_mD_2_MD_30,0.85,2.0,0,0,0,0,0,0,0,0,0,0
13,042_filter_FM_0.9_mD_5_MD_30,0.9,5.0,0,0,0,0,0,0,0,0,0,0
14,042_filter_FM_0.6_mD_3_MD_30,0.6,3.0,41510,561,449,195,37,36,31,143,115,11
15,042_filter_FM_0.85_mD_0_MD_30,0.85,0.0,411,563,527,466,37,37,36,143,137,120
16,042_filter_FM_0.85_mD_3_MD_30,0.85,3.0,0,0,0,0,0,0,0,0,0,0
17,042_filter_FM_0.6_mD_1_MD_30,0.6,1.0,136792,569,493,167,37,36,26,143,128,7
18,042_filter_FM_0.7_mD_4_MD_30,0.7,4.0,408,549,440,324,37,36,35,143,119,87
19,042_filter_FM_0.9_mD_10_MD_30,0.9,10.0,0,0,0,0,0,0,0,0,0,0
20,042_filter_FM_0.85_mD_10_MD_30,0.85,10.0,0,0,0,0,0,0,0,0,0,0
21,042_filter_FM_0.65_mD_0_MD_30,0.65,0.0,92512,569,492,283,37,36,32,143,130,38
22,042_filter_FM_0.65_mD_5_MD_30,0.65,5.0,719,544,416,260,37,35,35,143,110,65
23,042_filter_FM_0.55_mD_5_MD_30,0.55,5.0,23114,553,387,144,37,36,28,143,105,9
24,042_filter_FM_0.9_mD_2_MD_30,0.9,2.0,0,0,0,0,0,0,0,0,0,0
25,042_filter_FM_0.9_mD_4_MD_30,0.9,4.0,0,0,0,0,0,0,0,0,0,0
26,042_filter_FM_0.75_mD_10_MD_30,0.75,10.0,0,0,0,0,0,0,0,0,0,0
27,042_filter_FM_0.5_mD_4_MD_30,0.5,4.0,68051,558,406,77,37,36,15,143,107,2
28,042_filter_FM_0.65_mD_3_MD_30,0.65,3.0,21102,558,450,262,37,36,33,143,115,39
29,042_filter_FM_0.75_mD_1_MD_30,0.75,1.0,25683,569,496,384,37,37,36,143,130,84
30,042_filter_FM_0.6_mD_10_MD_30,0.6,10.0,0,0,0,0,0,0,0,0,0,0
31,042_filter_FM_0.75_mD_3_MD_30,0.75,3.0,361,550,466,367,37,36,35,143,121,100
32,042_filter_FM_0.5_mD_3_MD_30,0.5,3.0,102216,562,434,68,37,36,15,143,112,2
33,042_filter_FM_0.5_mD_2_MD_30,0.5,2.0,149900,566,462,28,37,36,11,143,120,1
34,042_filter_FM_0.55_mD_4_MD_30,0.55,4.0,41720,557,414,131,37,36,26,143,111,3
35,042_filter_FM_0.75_mD_0_MD_30,0.75,0.0,25683,569,496,384,37,37,36,143,130,84
36,042_filter_FM_0.75_mD_2_MD_30,0.75,2.0,5288,565,476,378,37,36,35,143,123,97
37,042_filter_FM_0.7_mD_1_MD_30,0.7,1.0,53919,569,495,333,37,37,33,143,131,49
38,042_filter_FM_0.85_mD_1_MD_30,0.85,1.0,411,563,527,466,37,37,36,143,137,120
39,042_filter_FM_0.65_mD_10_MD_30,0.65,10.0,0,0,0,0,0,0,0,0,0,0
40,042_filter_FM_0.75_mD_5_MD_30,0.75,5.0,0,0,0,0,0,0,0,0,0,0
41,042_filter_FM_0.9_mD_1_MD_30,0.9,1.0,0,0,0,0,0,0,0,0,0,0
42,042_filter_FM_0.7_mD_2_MD_30,0.7,2.0,20392,566,473,320,37,36,33,143,124,58
43,042_filter_FM_0.55_mD_10_MD_30,0.55,10.0,0,0,0,0,0,0,0,0,0,0
44,042_filter_FM_0.5_mD_10_MD_30,0.5,10.0,16,441,303,185,36,35,33,124,79,42
45,042_filter_FM_0.7_mD_3_MD_30,0.7,3.0,5482,554,458,323,37,36,35,143,120,80
46,042_filter_FM_0.85_mD_5_MD_30,0.85,5.0,0,0,0,0,0,0,0,0,0,0
47,042_filter_FM_0.65_mD_1_MD_30,0.65,1.0,92512,569,492,283,37,36,32,143,130,38
48,042_filter_FM_0.65_mD_2_MD_30,0.65,2.0,44200,566,472,270,37,36,33,143,124,34
49,042_filter_FM_0.85_mD_4_MD_30,0.85,4.0,0,0,0,0,0,0,0,0,0,0
50,042_filter_FM_0.7_mD_10_MD_30,0.7,10.0,0,0,0,0,0,0,0,0,0,0
51,042_filter_FM_0.55_mD_2_MD_30,0.55,2.0,108199,566,468,118,37,36,22,143,122,2
52,042_filter_FM_0.6_mD_4_MD_30,0.6,4.0,21865,555,416,201,37,36,32,143,112,24
53,042_filter_FM_0.55_mD_1_MD_30,0.55,1.0,189278,569,494,67,37,36,17,143,128,2
54,042_filter_FM_0.9_mD_0_MD_30,0.9,0.0,0,0,0,0,0,0,0,0,0,0
55,042_filter_FM_0.5_mD_5_MD_30,0.5,5.0,42822,554,381,85,37,36,18,143,106,2
